"UF";"Sexo";"Mais de 25 anos"
"Acre";"Homem";4534
"Acre";"Mulher";6216
"Alagoas";"Homem";17351
"Alagoas";"Mulher";28116
"Amapá";"Homem";3612
"Amapá";"Mulher";9031
"Amazonas";"Homem";24461
"Amazonas";"Mulher";38562
"Bahia";"Homem";96496
"Bahia";"Mulher";151966
"Ceará";"Mulher";81532
"Ceará";"Homem";50885
"Distrito Federal";"Homem";39639
"Distrito Federal";"Mulher";57632
"Espírito Santo";"Mulher";52888
"Espírito Santo";"Homem";33503
"Goiás";"Homem";59709
"Goiás";"Mulher";102033
"Maranhão";"Homem";19931
"Maranhão";"Mulher";39099
"Mato Grosso";"Mulher";77530
"Mato Grosso";"Homem";40267
"Mato Grosso do Sul";"Mulher";48884
"Mato Grosso do Sul";"Homem";31192
"Minas Gerais";"Homem";199247
"Minas Gerais";"Mulher";318960
"Pará";"Mulher";64915
"Pará";"Homem";32653
"Paraíba";"Mulher";38610
"Paraíba";"Homem";19930
"Paraná";"Homem";135859
"Paraná";"Mulher";232205
"Pernambuco";"Mulher";81745
"Pernambuco";"Homem";54087
"Piauí";"Homem";16813
"Piauí";"Mulher";20181
"Rio de Janeiro";"Mulher";225263
"Rio de Janeiro";"Homem";146342
"Rio Grande do Norte";"Homem";16869
"Rio Grande do Norte";"Mulher";34411
"Rio Grande do Sul";"Homem";137055
"Rio Grande do Sul";"Mulher";201258
"Rondônia";"Mulher";23421
"Rondônia";"Homem";16372
"Roraima";"Mulher";6085
"Roraima";"Homem";4944
"Santa Catarina";"Homem";93901
"Santa Catarina";"Mulher";158554
"São Paulo";"Homem";498592
"São Paulo";"Mulher";911414
"Sergipe";"Mulher";18793
"Sergipe";"Homem";11566
"Tocantins";"Homem";9694
"Tocantins";"Mulher";20412
"Todas as UFs";"Mulher";3049716
"Todas as UFs";"Homem";1815504
