"UF";"Raça/Cor";"Média Mulheres";"Média Homens"
"Acre";"Branca";" 4.7";" 5.2"
"Acre";"Negra";" 3.8";" 4.8"
"Acre";"Outras";" 1.4";" 3.3"
"Alagoas";"Branca";" 4.2";" 5.0"
"Alagoas";"Negra";" 3.3";" 4.2"
"Alagoas";"Outras";" 2.3";" 3.3"
"Amapá";"Branca";" 5.3";" 6.2"
"Amapá";"Negra";" 4.3";" 5.7"
"Amapá";"Outras";" 4.6";"  .8"
"Amazonas";"Branca";" 5.5";" 5.6"
"Amazonas";"Negra";" 4.0";" 5.5"
"Amazonas";"Outras";" 3.0";" 4.4"
"Bahia";"Branca";" 4.9";" 5.0"
"Bahia";"Negra";" 4.4";" 4.5"
"Bahia";"Outras";" 5.0";" 4.3"
"Ceará";"Branca";" 5.0";" 5.1"
"Ceará";"Negra";" 4.0";" 4.6"
"Ceará";"Outras";" 4.1";" 3.9"
"Distrito Federal";"Branca";" 6.2";" 6.3"
"Distrito Federal";"Negra";" 5.2";" 5.9"
"Distrito Federal";"Outras";" 6.4";" 5.7"
"Espírito Santo";"Branca";" 5.2";" 5.2"
"Espírito Santo";"Negra";" 4.4";" 4.9"
"Espírito Santo";"Outras";" 6.0";" 3.9"
"Goiás";"Branca";" 4.8";" 5.5"
"Goiás";"Negra";" 4.2";" 5.0"
"Goiás";"Outras";" 4.1";" 5.9"
"Maranhão";"Branca";" 4.3";" 4.8"
"Maranhão";"Negra";" 3.7";" 4.1"
"Maranhão";"Outras";" 3.9";" 2.6"
"Mato Grosso";"Branca";" 4.9";" 5.5"
"Mato Grosso";"Negra";" 4.0";" 5.2"
"Mato Grosso";"Outras";" 4.4";" 4.7"
"Mato Grosso do Sul";"Branca";" 5.1";" 5.4"
"Mato Grosso do Sul";"Negra";" 4.3";" 4.7"
"Mato Grosso do Sul";"Outras";" 5.6";" 5.1"
"Minas Gerais";"Branca";" 5.1";" 5.4"
"Minas Gerais";"Negra";" 4.3";" 4.8"
"Minas Gerais";"Outras";" 5.0";" 4.5"
"Pará";"Branca";" 4.8";" 5.2"
"Pará";"Negra";" 3.8";" 4.8"
"Pará";"Outras";" 3.1";" 3.5"
"Paraíba";"Branca";" 4.5";" 4.9"
"Paraíba";"Negra";" 3.8";" 4.1"
"Paraíba";"Outras";" 4.3";" 3.0"
"Paraná";"Branca";" 5.2";" 5.7"
"Paraná";"Negra";" 4.1";" 5.1"
"Paraná";"Outras";" 6.0";" 6.2"
"Pernambuco";"Branca";" 5.4";" 5.4"
"Pernambuco";"Negra";" 4.1";" 5.1"
"Pernambuco";"Outras";" 5.3";" 4.2"
"Piauí";"Branca";" 4.1";" 4.0"
"Piauí";"Negra";" 3.6";" 3.7"
"Piauí";"Outras";" 3.4";" 5.6"
"Rio de Janeiro";"Branca";" 5.5";" 6.2"
"Rio de Janeiro";"Negra";" 4.5";" 5.5"
"Rio de Janeiro";"Outras";" 4.7";" 5.7"
"Rio Grande do Norte";"Branca";" 4.7";" 4.9"
"Rio Grande do Norte";"Negra";" 3.8";" 4.4"
"Rio Grande do Norte";"Outras";"  .5";" 8.0"
"Rio Grande do Sul";"Branca";" 5.2";" 5.2"
"Rio Grande do Sul";"Negra";" 4.1";" 4.9"
"Rio Grande do Sul";"Outras";" 3.8";" 5.0"
"Rondônia";"Branca";" 4.5";" 5.3"
"Rondônia";"Negra";" 4.1";" 5.0"
"Rondônia";"Outras";" 4.5";" 3.8"
"Roraima";"Branca";" 5.1";" 5.6"
"Roraima";"Negra";" 4.7";" 5.1"
"Roraima";"Outras";" 3.3";" 4.4"
"Santa Catarina";"Branca";" 5.1";" 5.5"
"Santa Catarina";"Negra";" 3.9";" 5.3"
"Santa Catarina";"Outras";" 3.5";" 6.4"
"São Paulo";"Branca";" 5.6";" 6.1"
"São Paulo";"Negra";" 4.5";" 5.4"
"São Paulo";"Outras";" 5.7";" 7.1"
"Sergipe";"Branca";" 4.2";" 4.2"
"Sergipe";"Negra";" 3.7";" 4.1"
"Sergipe";"Outras";" 5.6";" 4.0"
"Tocantins";"Branca";" 4.8";" 5.6"
"Tocantins";"Negra";" 4.2";" 4.7"
"Tocantins";"Outras";" 4.1";" 7.1"
"Todas as UFs";"Branca";" 5.2";" 5.5"
"Todas as UFs";"Negra";" 4.2";" 4.9"
"Todas as UFs";"Outras";" 4.5";" 5.1"
