UF;Conselhos;OPMS;Órgãos
Acre;17;22;35
Alagoas;8;22;27
Amapá;2;16;19
Amazonas;12;13;22
Bahia;29;46;72
Ceará;8;17;19
Distrito Federal;1;1;2
Espírito Santo;14;5;22
Goiás;5;21;30
Maranhão;4;61;66
Mato Grosso;10;4;14
Mato Grosso do Sul;14;26;40
Minas Gerais;93;17;109
Pará;18;18;33
Paraíba;5;47;34
Paraná;9;18;24
Pernambuco;47;174;201
Piauí;2;8;6
Rio de Janeiro;22;30;60
Rio Grande do Norte;2;11;10
Rio Grande do Sul;47;111;166
Rondônia;4;3;7
Roraima;1;2;3
Santa Catarina;30;8;38
São Paulo;44;54;95
Sergipe;10;31;41
Tocantins;36;6;41
Todas as UFs;494;792;1286
