UF;Sexo;Pessoas
Acre;Homens;6216
Acre;Mulheres;4534
Alagoas;Homens;28116
Alagoas;Mulheres;17351
Amapá;Homens;9031
Amapá;Mulheres;3612
Amazonas;Mulheres;24461
Amazonas;Homens;38562
Bahia;Mulheres;96496
Bahia;Homens;151966
Ceará;Mulheres;50885
Ceará;Homens;81532
Distrito Federal;Homens;57632
Distrito Federal;Mulheres;39639
Espírito Santo;Homens;52888
Espírito Santo;Mulheres;33503
Goiás;Homens;102033
Goiás;Mulheres;59709
Maranhão;Homens;39099
Maranhão;Mulheres;19931
Mato Grosso;Homens;77530
Mato Grosso;Mulheres;40267
Mato Grosso do Sul;Mulheres;31192
Mato Grosso do Sul;Homens;48884
Minas Gerais;Mulheres;199247
Minas Gerais;Homens;318960
Pará;Mulheres;32653
Pará;Homens;64915
Paraíba;Mulheres;19930
Paraíba;Homens;38610
Paraná;Homens;232205
Paraná;Mulheres;135859
Pernambuco;Homens;81745
Pernambuco;Mulheres;54087
Piauí;Mulheres;16813
Piauí;Homens;20181
Rio de Janeiro;Mulheres;146342
Rio de Janeiro;Homens;225263
Rio Grande do Norte;Mulheres;16869
Rio Grande do Norte;Homens;34411
Rio Grande do Sul;Mulheres;137055
Rio Grande do Sul;Homens;201258
Rondônia;Homens;23421
Rondônia;Mulheres;16372
Roraima;Homens;6085
Roraima;Mulheres;4944
Santa Catarina;Mulheres;93901
Santa Catarina;Homens;158554
São Paulo;Mulheres;498592
São Paulo;Homens;911414
Sergipe;Homens;18793
Sergipe;Mulheres;11566
Tocantins;Mulheres;9694
Tocantins;Homens;20412
Todas as UFs;Mulheres;1815504
Todas as UFs;Homens;3049716
