UF;Sexo;Urbana;Rural
Acre;Homens;35.69;14.38
Acre;Mulheres;38.40;11.52
Acre;Todos os sexos;74.09;25.91
Alagoas;Homens;34.70;13.64
Alagoas;Mulheres;36.97;14.70
Alagoas;Todos os sexos;71.67;28.33
Amapá;Homens;44.29;5.71
Amapá;Mulheres;45.32;4.68
Amapá;Todos os sexos;89.61;10.39
Amazonas;Homens;40.83;8.92
Amazonas;Mulheres;42.82;7.43
Amazonas;Todos os sexos;83.66;16.34
Bahia;Homens;35.32;12.86
Bahia;Mulheres;39.80;12.02
Bahia;Todos os sexos;75.12;24.88
Ceará;Homens;34.98;13.65
Ceará;Mulheres;38.55;12.82
Ceará;Todos os sexos;73.52;26.48
Distrito Federal;Homens;46.37;2.34
Distrito Federal;Mulheres;49.21;2.08
Distrito Federal;Todos os sexos;95.58;4.42
Espírito Santo;Homens;40.39;8.20
Espírito Santo;Mulheres;44.08;7.33
Espírito Santo;Todos os sexos;84.47;15.53
Goiás;Homens;45.11;4.16
Goiás;Mulheres;47.12;3.60
Goiás;Todos os sexos;92.24;7.76
Maranhão;Homens;27.52;20.30
Maranhão;Mulheres;31.65;20.53
Maranhão;Todos os sexos;59.17;40.83
Mato Grosso;Homens;41.26;9.43
Mato Grosso;Mulheres;41.54;7.76
Mato Grosso;Todos os sexos;82.80;17.20
Mato Grosso do Sul;Homens;43.64;5.73
Mato Grosso do Sul;Mulheres;45.58;5.05
Mato Grosso do Sul;Todos os sexos;89.22;10.78
Minas Gerais;Homens;40.72;8.03
Minas Gerais;Mulheres;43.84;7.41
Minas Gerais;Todos os sexos;84.56;15.44
Pará;Homens;34.06;16.27
Pará;Mulheres;36.01;13.65
Pará;Todos os sexos;70.08;29.92
Paraíba;Homens;38.41;9.73
Paraíba;Mulheres;43.19;8.66
Paraíba;Todos os sexos;81.61;18.39
Paraná;Homens;42.30;6.54
Paraná;Mulheres;45.19;5.98
Paraná;Todos os sexos;87.48;12.52
Pernambuco;Homens;38.05;9.66
Pernambuco;Mulheres;43.01;9.27
Pernambuco;Todos os sexos;81.06;18.94
Piauí;Homens;31.93;16.44
Piauí;Mulheres;35.61;16.02
Piauí;Todos os sexos;67.53;32.47
Rio de Janeiro;Homens;45.61;1.33
Rio de Janeiro;Mulheres;51.71;1.35
Rio de Janeiro;Todos os sexos;97.32;2.68
Rio Grande do Norte;Homens;36.24;11.79
Rio Grande do Norte;Mulheres;40.24;11.73
Rio Grande do Norte;Todos os sexos;76.48;23.52
Rio Grande do Sul;Homens;40.23;7.77
Rio Grande do Sul;Mulheres;44.76;7.24
Rio Grande do Sul;Todos os sexos;84.99;15.01
Rondônia;Homens;37.54;12.64
Rondônia;Mulheres;38.77;11.05
Rondônia;Todos os sexos;76.31;23.69
Roraima;Homens;40.71;8.93
Roraima;Mulheres;42.49;7.87
Roraima;Todos os sexos;83.20;16.80
Santa Catarina;Homens;40.49;8.31
Santa Catarina;Mulheres;43.62;7.58
Santa Catarina;Todos os sexos;84.11;15.89
São Paulo;Homens;46.32;1.80
São Paulo;Mulheres;50.25;1.64
São Paulo;Todos os sexos;96.56;3.44
Sergipe;Homens;34.74;14.20
Sergipe;Mulheres;37.14;13.92
Sergipe;Todos os sexos;71.88;28.12
Tocantins;Homens;38.22;11.67
Tocantins;Mulheres;40.31;9.80
Tocantins;Todos os sexos;78.52;21.48
Todas as UFs;Homens;40.69;7.75
Todas as UFs;Mulheres;44.37;7.19
Todas as UFs;Todos os sexos;85.06;14.94
