UF;Raça/Cor;Homens;Mulheres
Acre;Branca;  16.47;  12.10
Acre;Negra;  13.93;   6.37
Alagoas;Branca;  10.09;   5.83
Alagoas;Negra;   8.36;   3.66
Amapá;Branca;  17.51;  11.53
Amapá;Negra;  15.28;   7.39
Amazonas;Branca;  19.07;  12.57
Amazonas;Negra;  14.02;   6.52
Bahia;Branca;  15.60;   8.92
Bahia;Negra;  10.64;   5.66
Ceará;Branca;  11.35;   7.28
Ceará;Negra;   8.56;   4.68
Distrito Federal;Branca;  37.92;  28.61
Distrito Federal;Negra;  24.58;  15.13
Espírito Santo;Branca;  19.95;  10.31
Espírito Santo;Negra;  13.68;   7.34
Goiás;Branca;  19.71;  10.14
Goiás;Negra;  16.03;   6.84
Maranhão;Branca;  12.62;   7.44
Maranhão;Negra;   8.98;   4.25
Mato Grosso;Branca;  24.00;  12.86
Mato Grosso;Negra;  17.15;   7.07
Mato Grosso do Sul;Branca;  25.40;  12.14
Mato Grosso do Sul;Negra;  16.17;   7.90
Minas Gerais;Branca;  19.24;  10.15
Minas Gerais;Negra;  13.69;   6.68
Pará;Branca;  13.02;   7.18
Pará;Negra;  10.79;   4.71
Paraíba;Branca;  10.23;   6.79
Paraíba;Negra;  10.39;   4.74
Paraná;Branca;  21.60;  11.53
Paraná;Negra;  14.92;   7.27
Pernambuco;Branca;  11.84;   7.79
Pernambuco;Negra;   8.89;   4.38
Piauí;Branca;  12.16;   7.80
Piauí;Negra;   9.65;   4.71
Rio de Janeiro;Branca;  22.23;  13.54
Rio de Janeiro;Negra;  14.25;   7.40
Rio Grande do Norte;Branca;  11.52;   6.62
Rio Grande do Norte;Negra;   9.61;   4.51
Rio Grande do Sul;Branca;  18.63;  10.83
Rio Grande do Sul;Negra;  14.23;   6.56
Rondônia;Branca;  20.80;   9.63
Rondônia;Negra;  14.96;   7.30
Roraima;Branca;  18.77;  10.53
Roraima;Negra;  14.07;   9.61
Santa Catarina;Branca;  20.32;  11.32
Santa Catarina;Negra;  16.01;   7.34
São Paulo;Branca;  22.92;  13.08
São Paulo;Negra;  15.42;   7.72
Sergipe;Branca;  13.61;   8.03
Sergipe;Negra;  10.47;   5.31
Tocantins;Branca;  22.55;  13.39
Tocantins;Negra;  13.57;   6.26
Todas as UFs;Branca;  20.22;  11.55
Todas as UFs;Negra;  12.89;   6.37
