UF;Rendimento-Hora Mulher
Acre;   7.50
Alagoas;   4.27
Amapá;   8.43
Amazonas;   7.81
Bahia;   6.36
Ceará;   5.46
Distrito Federal;  20.84
Espírito Santo;   8.62
Goiás;   8.13
Maranhão;   4.91
Mato Grosso;   9.14
Mato Grosso do Sul;   9.90
Minas Gerais;   8.21
Pará;   5.23
Paraíba;   5.53
Paraná;  10.24
Pernambuco;   5.54
Piauí;   5.44
Rio de Janeiro;  10.39
Rio Grande do Norte;   5.33
Rio Grande do Sul;  10.03
Rondônia;   8.02
Roraima;   9.63
Santa Catarina;  10.67
São Paulo;  11.13
Sergipe;   6.02
Tocantins;   7.83
Todas as UFs;   8.87
