"UF";"Raça/Cor";"Homens";"Mulheres"
"Acre";"Branca";"  76.99";"  79.04"
"Acre";"Negra";"  75.92";"  78.82"
"Acre";"Outras";"  46.90";"  31.76"
"Alagoas";"Branca";"  73.27";"  74.86"
"Alagoas";"Negra";"  68.62";"  73.21"
"Alagoas";"Outras";"  87.51";"  77.78"
"Amapá";"Branca";"  86.49";"  82.17"
"Amapá";"Negra";"  84.53";"  83.67"
"Amapá";"Outras";"  71.44";" 100.00"
"Amazonas";"Branca";"  80.13";"  81.56"
"Amazonas";"Negra";"  82.85";"  83.89"
"Amazonas";"Outras";"  75.16";"  67.34"
"Bahia";"Branca";"  77.71";"  79.97"
"Bahia";"Negra";"  77.52";"  80.08"
"Bahia";"Outras";"  82.70";"  82.35"
"Ceará";"Branca";"  77.86";"  80.63"
"Ceará";"Negra";"  74.97";"  80.00"
"Ceará";"Outras";"  74.30";"  75.45"
"Distrito Federal";"Branca";"  88.40";"  89.11"
"Distrito Federal";"Negra";"  89.25";"  90.47"
"Distrito Federal";"Outras";"  92.10";"  94.64"
"Espírito Santo";"Branca";"  87.99";"  87.82"
"Espírito Santo";"Negra";"  85.10";"  85.18"
"Espírito Santo";"Outras";"  85.71";"  88.24"
"Goiás";"Branca";"  85.96";"  86.62"
"Goiás";"Negra";"  84.45";"  84.75"
"Goiás";"Outras";"  89.80";"  88.64"
"Maranhão";"Branca";"  76.02";"  76.44"
"Maranhão";"Negra";"  69.24";"  73.55"
"Maranhão";"Outras";"  56.25";"  45.71"
"Mato Grosso";"Branca";"  86.40";"  86.66"
"Mato Grosso";"Negra";"  83.70";"  83.96"
"Mato Grosso";"Outras";"  85.71";"  78.58"
"Mato Grosso do Sul";"Branca";"  85.84";"  86.43"
"Mato Grosso do Sul";"Negra";"  83.30";"  86.15"
"Mato Grosso do Sul";"Outras";"  86.04";"  89.83"
"Minas Gerais";"Branca";"  87.12";"  88.52"
"Minas Gerais";"Negra";"  84.99";"  85.71"
"Minas Gerais";"Outras";"  80.94";"  76.58"
"Pará";"Branca";"  81.16";"  81.06"
"Pará";"Negra";"  78.58";"  81.62"
"Pará";"Outras";"  68.03";"  79.55"
"Paraíba";"Branca";"  75.76";"  81.70"
"Paraíba";"Negra";"  72.46";"  78.81"
"Paraíba";"Outras";"  58.06";"  78.12"
"Paraná";"Branca";"  88.21";"  89.21"
"Paraná";"Negra";"  86.89";"  85.83"
"Paraná";"Outras";"  94.14";"  95.91"
"Pernambuco";"Branca";"  80.00";"  83.33"
"Pernambuco";"Negra";"  77.27";"  79.26"
"Pernambuco";"Outras";"  59.77";"  82.49"
"Piauí";"Branca";"  70.40";"  78.87"
"Piauí";"Negra";"  69.85";"  75.51"
"Piauí";"Outras";" 100.00";" 100.00"
"Rio de Janeiro";"Branca";"  90.54";"  91.41"
"Rio de Janeiro";"Negra";"  88.93";"  89.21"
"Rio de Janeiro";"Outras";"  97.23";"  92.16"
"Rio Grande do Norte";"Branca";"  75.50";"  80.29"
"Rio Grande do Norte";"Negra";"  74.61";"  79.40"
"Rio Grande do Norte";"Outras";" 100.00";"  50.04"
"Rio Grande do Sul";"Branca";"  89.13";"  89.80"
"Rio Grande do Sul";"Negra";"  86.71";"  86.36"
"Rio Grande do Sul";"Outras";"  95.31";"  82.51"
"Rondônia";"Branca";"  83.24";"  81.19"
"Rondônia";"Negra";"  83.34";"  85.27"
"Rondônia";"Outras";"  90.91";"  85.73"
"Roraima";"Branca";"  83.62";"  80.81"
"Roraima";"Negra";"  81.60";"  81.56"
"Roraima";"Outras";"  77.42";"  75.00"
"Santa Catarina";"Branca";"  89.52";"  90.60"
"Santa Catarina";"Negra";"  89.63";"  87.09"
"Santa Catarina";"Outras";"  80.65";"  96.16"
"São Paulo";"Branca";"  89.48";"  89.49"
"São Paulo";"Negra";"  89.21";"  88.20"
"São Paulo";"Outras";"  93.72";"  93.81"
"Sergipe";"Branca";"  73.85";"  79.20"
"Sergipe";"Negra";"  75.39";"  79.21"
"Sergipe";"Outras";"  77.76";"  91.30"
"Tocantins";"Branca";"  85.44";"  84.22"
"Tocantins";"Negra";"  78.29";"  79.77"
"Tocantins";"Outras";"  80.01";"  84.62"
"Todas as UFs";"Branca";"  86.61";"  87.59"
"Todas as UFs";"Negra";"  81.60";"  83.15"
"Todas as UFs";"Outras";"  84.63";"  85.55"
