"UF";"Raça/Cor";"Com carteira assinada";"Sem carteira assinada"
"Acre";"Branca";672;336
"Acre";"Negra";336;840
"Acre";"Outras";0;0
"Alagoas";"Branca";0;0
"Alagoas";"Negra";599;2991
"Alagoas";"Outras";0;0
"Amapá";"Branca";258;258
"Amapá";"Negra";516;1033
"Amapá";"Outras";0;0
"Amazonas";"Branca";313;626
"Amazonas";"Negra";3764;6269
"Amazonas";"Outras";313;0
"Bahia";"Branca";1408;2169
"Bahia";"Negra";10577;10375
"Bahia";"Outras";322;0
"Ceará";"Branca";1721;3129
"Ceará";"Negra";4767;9594
"Ceará";"Outras";0;0
"Distrito Federal";"Branca";2440;915
"Distrito Federal";"Negra";5489;2745
"Distrito Federal";"Outras";305;0
"Espírito Santo";"Branca";0;1764
"Espírito Santo";"Negra";1176;1175
"Espírito Santo";"Outras";0;0
"Goiás";"Branca";3120;4455
"Goiás";"Negra";5343;5349
"Goiás";"Outras";0;0
"Maranhão";"Branca";0;766
"Maranhão";"Negra";1534;5367
"Maranhão";"Outras";0;0
"Mato Grosso";"Branca";1286;0
"Mato Grosso";"Negra";4283;3426
"Mato Grosso";"Outras";0;0
"Mato Grosso do Sul";"Branca";843;422
"Mato Grosso do Sul";"Negra";1686;2527
"Mato Grosso do Sul";"Outras";0;0
"Minas Gerais";"Branca";8083;6976
"Minas Gerais";"Negra";19997;19473
"Minas Gerais";"Outras";0;0
"Pará";"Branca";653;1617
"Pará";"Negra";4752;11692
"Pará";"Outras";0;0
"Paraíba";"Branca";0;1246
"Paraíba";"Negra";623;3115
"Paraíba";"Outras";0;0
"Paraná";"Branca";2765;8276
"Paraná";"Negra";3546;6433
"Paraná";"Outras";0;0
"Pernambuco";"Branca";2428;3326
"Pernambuco";"Negra";7969;6444
"Pernambuco";"Outras";0;0
"Piauí";"Branca";561;1682
"Piauí";"Negra";1120;6730
"Piauí";"Outras";0;0
"Rio de Janeiro";"Branca";15509;5174
"Rio de Janeiro";"Negra";23918;10991
"Rio de Janeiro";"Outras";0;0
"Rio Grande do Norte";"Branca";675;1350
"Rio Grande do Norte";"Negra";0;1350
"Rio Grande do Norte";"Outras";0;0
"Rio Grande do Sul";"Branca";6356;15975
"Rio Grande do Sul";"Negra";3367;5989
"Rio Grande do Sul";"Outras";0;249
"Rondônia";"Branca";252;0
"Rondônia";"Negra";252;1511
"Rondônia";"Outras";0;0
"Roraima";"Branca";0;0
"Roraima";"Negra";380;1330
"Roraima";"Outras";0;950
"Santa Catarina";"Branca";5562;4173
"Santa Catarina";"Negra";1391;1390
"Santa Catarina";"Outras";695;0
"São Paulo";"Branca";43188;35979
"São Paulo";"Negra";38827;33271
"São Paulo";"Outras";1040;0
"Sergipe";"Branca";0;361
"Sergipe";"Negra";1808;1807
"Sergipe";"Outras";0;0
"Tocantins";"Branca";255;0
"Tocantins";"Negra";1788;2296
"Tocantins";"Outras";0;0
"Todas as UFs";"Branca";98348;100975
"Todas as UFs";"Negra";149808;165513
"Todas as UFs";"Outras";2675;1199
