"Ano";"UF";"Relatos"
2009;"Acre";36
2009;"Alagoas";734
2009;"Amapa";81
2009;"Amazonas";136
2009;"Bahia";2615
2009;"Ceara";510
2009;"Distrito Federal";1942
2009;"Espirito Santo";908
2009;"Goias";1477
2009;"Maranhao";599
2009;"Mato Grosso";382
2009;"Mato Grosso do Sul";484
2009;"Minas Gerais";2892
2009;"Para";1250
2009;"Paraiba";425
2009;"Parana";2335
2009;"Pernambuco";1035
2009;"Piaui";312
2009;"Rio de Janeiro";5483
2009;"Rio Grande do Norte";591
2009;"Rio Grande do Sul";2045
2009;"Rondonia";134
2009;"Roraima";43
2009;"Santa Catarina";591
2009;"Sao Paulo";12491
2009;"Sergipe";266
2009;"Tocantins";232
2009;"Todas as UFs";40029
2010;"Acre";165
2010;"Alagoas";1044
2010;"Amapa";234
2010;"Amazonas";448
2010;"Bahia";7143
2010;"Ceara";1242
2010;"Distrito Federal";3034
2010;"Espirito Santo";1656
2010;"Goias";3560
2010;"Maranhao";1932
2010;"Mato Grosso";1166
2010;"Mato Grosso do Sul";1268
2010;"Minas Gerais";6462
2010;"Para";3157
2010;"Paraiba";976
2010;"Parana";5192
2010;"Pernambuco";2124
2010;"Piaui";1306
2010;"Rio de Janeiro";9815
2010;"Rio Grande do Norte";1306
2010;"Rio Grande do Sul";3704
2010;"Rondonia";501
2010;"Roraima";128
2010;"Santa Catarina";1358
2010;"Sao Paulo";18371
2010;"Sergipe";855
2010;"Tocantins";836
2010;"Todas as UFs";78983
2011;"Acre";208
2011;"Alagoas";1423
2011;"Amapa";234
2011;"Amazonas";406
2011;"Bahia";7278
2011;"Ceara";990
2011;"Distrito Federal";2204
2011;"Espirito Santo";1341
2011;"Goias";2733
2011;"Maranhao";1459
2011;"Mato Grosso";843
2011;"Mato Grosso do Sul";1412
2011;"Minas Gerais";6384
2011;"Para";4416
2011;"Paraiba";1399
2011;"Parana";5222
2011;"Pernambuco";3364
2011;"Piaui";1983
2011;"Rio de Janeiro";10770
2011;"Rio Grande do Norte";1523
2011;"Rio Grande do Sul";3809
2011;"Rondonia";472
2011;"Roraima";91
2011;"Santa Catarina";1384
2011;"Sao Paulo";20231
2011;"Sergipe";1397
2011;"Tocantins";567
2011;"Todas as UFs";83543
2012;"Acre";157
2012;"Alagoas";859
2012;"Amapa";241
2012;"Amazonas";226
2012;"Bahia";5153
2012;"Ceara";1038
2012;"Distrito Federal";2630
2012;"Espirito Santo";1665
2012;"Goias";2563
2012;"Maranhao";1528
2012;"Mato Grosso";679
2012;"Mato Grosso do Sul";1294
2012;"Minas Gerais";5284
2012;"Para";2055
2012;"Paraiba";613
2012;"Parana";2940
2012;"Pernambuco";1645
2012;"Piaui";945
2012;"Rio de Janeiro";9421
2012;"Rio Grande do Norte";809
2012;"Rio Grande do Sul";3206
2012;"Rondonia";331
2012;"Roraima";92
2012;"Santa Catarina";949
2012;"Sao Paulo";11757
2012;"Sergipe";560
2012;"Tocantins";252
2012;"Todas as UFs";58892
2013;"Acre";133
2013;"Alagoas";924
2013;"Amapa";277
2013;"Amazonas";224
2013;"Bahia";4615
2013;"Ceara";932
2013;"Distrito Federal";2120
2013;"Espirito Santo";1526
2013;"Goias";2188
2013;"Maranhao";1701
2013;"Mato Grosso";769
2013;"Mato Grosso do Sul";1126
2013;"Minas Gerais";5222
2013;"Para";2208
2013;"Paraiba";818
2013;"Parana";2930
2013;"Pernambuco";1789
2013;"Piaui";752
2013;"Rio de Janeiro";7629
2013;"Rio Grande do Norte";624
2013;"Rio Grande do Sul";3222
2013;"Rondonia";383
2013;"Roraima";81
2013;"Santa Catarina";1007
2013;"Sao Paulo";12247
2013;"Sergipe";677
2013;"Tocantins";233
2013;"Todas as UFs";56357
2014;"Acre";119
2014;"Alagoas";510
2014;"Amapa";160
2014;"Amazonas";136
2014;"Bahia";3077
2014;"Ceara";733
2014;"Distrito Federal";1612
2014;"Espirito Santo";866
2014;"Goias";1523
2014;"Maranhao";1055
2014;"Mato Grosso";506
2014;"Mato Grosso do Sul";789
2014;"Minas Gerais";4232
2014;"Para";1459
2014;"Paraiba";582
2014;"Parana";2364
2014;"Pernambuco";1305
2014;"Piaui";586
2014;"Rio de Janeiro";5475
2014;"Rio Grande do Norte";678
2014;"Rio Grande do Sul";2447
2014;"Rondonia";293
2014;"Roraima";45
2014;"Santa Catarina";722
2014;"Sao Paulo";8692
2014;"Sergipe";440
2014;"Tocantins";89
2014;"Todas as UFs";40495
2015;"Acre";162
2015;"Alagoas";1068
2015;"Amapa";138
2015;"Amazonas";159
2015;"Bahia";5014
2015;"Ceara";588
2015;"Distrito Federal";2095
2015;"Espirito Santo";1491
2015;"Goias";2325
2015;"Maranhao";1852
2015;"Mato Grosso";827
2015;"Mato Grosso do Sul";1596
2015;"Minas Gerais";6381
2015;"Para";2131
2015;"Paraiba";994
2015;"Parana";3276
2015;"Pernambuco";2282
2015;"Piaui";1188
2015;"Rio de Janeiro";10056
2015;"Rio Grande do Norte";1058
2015;"Rio Grande do Sul";3397
2015;"Rondonia";423
2015;"Roraima";56
2015;"Santa Catarina";1172
2015;"Sao Paulo";11634
2015;"Sergipe";742
2015;"Tocantins";242
2015;"Todas as UFs";62347
