"UF";"Ano";"Mulher";"Homem"
"Acre";2014;0;0
"Alagoas";2014;0;0
"Amazonas";2014;0;0
"Amapá";2014;1;0
"Bahia";2014;3;0
"Ceará";2014;1;0
"Distrito Federal";2014;2;0
"Espírito Santo";2014;3;0
"Goiás";2014;5;0
"Maranhão";2014;2;0
"Minas Gerais";2014;5;0
"Mato Grosso do Sul";2014;1;0
"Mato Grosso";2014;0;0
"Pará";2014;3;0
"Paraíba";2014;8;0
"Pernambuco";2014;7;0
"Piauí";2014;3;0
"Paraná";2014;6;1
"Rio de Janeiro";2014;11;0
"Rio Grande do Norte";2014;7;0
"Rondônia";2014;0;0
"Roraima";2014;0;0
"Rio Grande do Sul";2014;3;0
"Santa Catarina";2014;1;0
"Sergipe";2014;5;0
"São Paulo";2014;25;0
"Tocantins";2014;0;1
"Todas as UFs";2014;102;2
